File,Line,Index,Context
Aleksandra_JagieC582o.html,49,592,"dra_Jagie%C5%82o_2013.jpg 2x"" data-file-width=""1200"" data-file-h"
Aleksandra_JagieC582o.html,49,615,"pg 2x"" data-file-width=""1200"" data-file-height=""1600"" /></a></td"
Aleksandra_JagieC582o.html,105,432,"px-Flag_of_Poland.svg.png 2x"" data-file-width=""1280"" data-file-h"
Aleksandra_JagieC582o.html,105,455,"ng 2x"" data-file-width=""1280"" data-file-height=""800"" /></a></spa"
Aleksandra_JagieC582o.html,118,432,"px-Flag_of_Poland.svg.png 2x"" data-file-width=""1280"" data-file-h"
Aleksandra_JagieC582o.html,118,455,"ng 2x"" data-file-width=""1280"" data-file-height=""800"" /></a></spa"
Aleksandra_JagieC582o.html,128,432,"px-Flag_of_Poland.svg.png 2x"" data-file-width=""1280"" data-file-h"
Aleksandra_JagieC582o.html,128,455,"ng 2x"" data-file-width=""1280"" data-file-height=""800"" /></a></spa"
Aleksandra_JagieC582o.html,137,421,"59px-Commons-logo.svg.png 2x"" data-file-width=""1024"" data-file-h"
Aleksandra_JagieC582o.html,137,444,"ng 2x"" data-file-width=""1024"" data-file-height=""1376"" /></a></td"
Aleksandra_JagieC582o.html,201,434,"px-Flag_of_Poland.svg.png 2x"" data-file-width=""1280"" data-file-h"
Aleksandra_JagieC582o.html,201,457,"ng 2x"" data-file-width=""1280"" data-file-height=""800"" /></a></spa"
Aleksandra_JagieC582o.html,253,434,"px-Flag_of_Poland.svg.png 2x"" data-file-width=""1280"" data-file-h"
Aleksandra_JagieC582o.html,253,457,"ng 2x"" data-file-width=""1280"" data-file-height=""800"" /></a></spa"
Aleksandra_JagieC582o.html,296,434,"px-Flag_of_Poland.svg.png 2x"" data-file-width=""1280"" data-file-h"
Aleksandra_JagieC582o.html,296,457,"ng 2x"" data-file-width=""1280"" data-file-height=""800"" /></a></spa"
Aleksandra_JagieC582o.html,307,18,"<table class=""metadata plainlinks stub"" role=""presen"
Aleksandra_JagieC582o.html,309,447,"l_angelo_gelmi_01.svg.png 2x"" data-file-width=""283"" data-file-he"
Aleksandra_JagieC582o.html,309,469,"png 2x"" data-file-width=""283"" data-file-height=""248"" /></td>"
Aleksandra_JagieC582o.html,358,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
Aleksandra_JagieC582o.html,441,1043,"a href=""https://www.wikidata.org/wiki/Q2009951"" title=""Link to c"
Aleksandra_JagieC582o.html,441,1092,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
Aleksandra_JagieC582o.html,441,1136," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
Aleksandra_JagieC582o.html,466,125,"><a href=""https://www.wikidata.org/wiki/Q2009951#sitelinks-wikip"
Luiz_Henrique_Santos.html,43,102,"ble class=""plainlinks metadata ambox ambox-style ambox-Orphan"" r"
Luiz_Henrique_Santos.html,46,429,"0px-Wiki_letter_w.svg.png 2x"" data-file-width=""44"" data-file-hei"
Luiz_Henrique_Santos.html,46,450,".png 2x"" data-file-width=""44"" data-file-height=""44"" /></a></div>"
Luiz_Henrique_Santos.html,131,18,"<table class=""metadata plainlinks stub"" role=""presen"
