key,value
9869,2874
40914,13091
8864,67309
3090,24615
48220,25813
14548,90403
16341,3557
49343,1254
36163,35127
4899,49509
13174,72205
13402,95947
14072,55491
5677,92573
26436,16539
30976,90445
3118,61740
15197,61472
4988,19024
43654,34847
37377,65115
24350,58736
30258,14723
33110,89725
30511,1154
8640,99627
38968,37723
25974,41002
46534,27374
23841,32098
45129,92804
37824,1685
27666,68245
14034,55105
41787,2275
47426,67403
1899,32263
46267,32017
11631,16768
28491,51989
19279,59226
14563,43962
32842,58722
36184,24345
4439,95078
13856,992
17282,59792
26375,60657
28259,31776
31936,95911
6855,18540
37515,57659
27821,56478
34621,95357
25335,4058
25753,99995
35357,72503
47212,43974
5170,92218
43257,19087
43806,82818
19843,36670
49328,41405
9097,70287
13969,88839
19073,40570
16135,5029
45254,40369
3019,94935
28172,55921
15220,73869
46099,21646
23696,27846
45959,47950
6475,88793
32862,97507
24268,25000
13752,69419
23402,34764
30612,18904
43724,43904
25674,33240
4437,61815
12068,5679
22164,57069
47684,69929
20752,47024
4112,17264
6644,99426
28959,82228
15032,39871
27822,11159
30956,6466
38157,21563
1487,13987
35843,25409
44741,87319
46151,21709
24006,17713
26264,15036
31978,5470
42612,7460
27598,49074
34532,5197
21107,7623
16541,84153
4029,7918
2267,55265
47052,8216
41249,39895
36172,16418
44164,3143
44450,36129
27306,75651
28198,81558
6796,3434
23245,48449
5200,96971
24110,93046
35271,76699
27424,61779
19175,13899
1549,38660
45076,23059
8564,43141
48784,85988
16258,78378
20193,96036
33119,30602
38037,39781
6285,352
39353,97939
27985,91326
11540,81664
4693,80585
18314,3350
41614,31846
12636,70985
13789,47892
32708,76525
4138,75095
20761,52523
38679,26075
31082,41904
35950,92383
1151,98729
42090,71031
29397,22806
15957,55366
36858,41692
31965,76851
17896,28726
29930,50108
43694,5751
17756,58447
18529,56242
27465,22178
28373,24549
10740,91335
26338,7850
36613,65251
49728,65870
15416,55621
37064,79425
41358,86717
39929,25687
20489,94130
12073,47664
29826,9911
9802,31074
39476,30905
26168,1979
40365,74277
22565,55406
28524,8685
18259,52327
42389,9874
19794,94028
47106,34881
1123,49856
25341,2470
14150,87229
45268,91557
12422,72423
15431,62196
23306,86331
48123,47220
17962,51693
45957,99256
49439,99668
23984,69714
26313,63459
32878,95049
13413,99553
12570,30484
23830,65386
2336,24186
7473,42722
49973,14789
4916,25214
40418,99385
8027,91232
31741,74121
20179,10049
21675,75641
15015,7276
46432,75275
8627,48292
46020,80182
38809,64523
27002,30508
42526,18405
15677,98568
49456,46222
40580,54611
43289,66388
9051,19686
26277,34128
25111,82411
11580,90075
20175,71316
35847,72357
45518,62278
48963,76112
20354,83442
23466,83640
46803,56437
7190,7077
7331,55008
47692,19369
32786,37839
17402,81709
20417,33920
33574,43852
1976,77318
23084,88877
30158,67150
2880,83330
34988,84068
7598,50828
4539,93935
45814,91172
49556,65978
20237,14022
19250,74074
32178,41429
38391,30410
27069,43882
26261,68801
4942,53212
15480,47849
41638,85882
12785,47
27386,70441
17696,52897
31437,7552
49604,50465
17089,42703
2,54453
34659,24281
8634,4159
10159,83346
21750,70203
37985,63385
553,7904
18273,36734
40245,98251
28616,46145
34641,41884
27156,76330
9284,45389
30025,10026
28327,72079
30396,69274
10987,27686
5406,83403
39673,98434
25980,46341
26288,55925
1469,6571
30180,52753
7045,48857
11853,14899
13014,1464
1849,41608
35768,81727
25389,90455
14900,14412
971,78395
32479,26639
35931,34006
14478,20927
48546,91171
17310,50724
10743,92833
8902,80881
7614,87537
9398,9610
34206,91527
13482,21933
43786,58131
6264,78716
7211,20899
41852,5643
44712,23729
43999,40574
48892,20655
5674,91257
37709,13655
22047,46543
10357,93825
16836,79898
35471,397
46614,28955
21847,59069
45134,61978
28894,3396
5927,90599
27673,24635
47654,98815
442,26912
11142,44833
21237,63535
14250,51273
15636,15978
46051,32124
40968,93036
9468,19412
42041,49285
1242,41763
16851,72314
10824,10740
24125,17009
25029,19429
35238,1793
24705,37189
16522,18439
31623,38202
32214,18125
19691,82414
22992,50968
26545,69685
16433,67935
31742,40409
46986,89900
48516,28692
23449,33166
47998,46812
11420,7178
20973,75154
16503,22769
49711,75334
37838,243
35244,26
33449,38705
42021,37597
49357,19011
20721,55402
24972,83162
30078,46346
28114,33150
13583,83338
48803,50918
23241,98280
11375,20084
7397,20775
2933,14068
37819,34267
47154,3047
18368,36323
35033,55306
24649,97483
39934,4101
16330,68220
2114,1781
26402,25918
9971,47403
33266,96097
145,93531
31090,68563
16575,82080
16729,92127
42938,71382
9309,78895
40668,47393
6199,4033
13514,66544
32509,25354
19757,96913
13961,3623
44828,4126
33641,38109
46080,32144
19381,24047
16567,26530
41102,23831
10151,16252
42175,15568
9907,38549
27142,74826
32972,63331
44830,43160
15419,82116
12749,9692
48493,36385
22227,46832
36794,44698
44240,12781
26432,25875
16459,95534
44088,25383
38288,58365
8190,68772
39737,656
4994,57758
44595,14259
26825,93376
21931,68508
20310,3573
21820,48440
29108,70360
7589,94510
29026,81180
13405,39431
20113,43494
29999,6799
14607,8970
3095,27590
27635,3268
10541,81498
11224,27315
41423,36803
19640,7815
10450,25885
39179,42506
30062,26545
9932,43582
28167,74990
46693,48489
40935,55416
32742,16738
42246,14918
27208,70761
46675,72019
30353,85684
18220,50306
45242,70351
30453,65493
3967,33623
31474,23872
18112,67543
47693,96630
44763,9503
46930,458
14577,77390
41846,1847
23161,83198
11746,52448
42039,68924
1594,33747
6163,37678
3774,30117
3920,86453
44594,25296
5243,47929
11066,17015
32636,23610
10813,12083
